iter	Passed	Remaining
584	6461	4583
585	6471	4572
586	6482	4560
587	6493	4549
588	6504	4538
589	6514	4526
590	6524	4515
591	6535	4504
592	6546	4493
593	6557	4481
594	6567	4470
595	6579	4459
596	6589	4448
597	6599	4436
598	6611	4425
599	6621	4414
600	6631	4402
601	6643	4391
602	6653	4380
603	6664	4369
604	6674	4358
605	6685	4346
606	6695	4335
607	6707	4324
608	6717	4312
609	6728	4301
610	6738	4290
611	6749	4278
612	6759	4267
613	6769	4256
614	6780	4244
615	6792	4234
616	6803	4223
617	6813	4211
618	6824	4200
619	6834	4189
620	6845	4177
621	6857	4167
622	6867	4155
623	6878	4144
624	6890	4134
625	6901	4123
626	6911	4111
627	6923	4100
628	6934	4090
629	6946	4079
630	6957	4068
631	6968	4057
632	6979	4046
633	6990	4035
634	7001	4024
635	7011	4012
636	7023	4002
637	7035	3991
638	7044	3980
639	7055	3968
640	7066	3957
641	7076	3946
642	7087	3934
643	7097	3923
644	7107	3912
645	7118	3901
646	7129	3889
647	7140	3878
648	7151	3867
649	7161	3856
650	7172	3845
651	7184	3834
652	7195	3823
653	7205	3812
654	7216	3800
655	7226	3789
656	7237	3778
657	7248	3767
658	7258	3755
659	7269	3744
660	7279	3733
661	7289	3721
662	7300	3710
663	7311	3699
664	7322	3688
665	7332	3677
666	7343	3666
667	7353	3654
668	7364	3643
669	7374	3632
670	7385	3621
671	7396	3610
672	7406	3598
673	7417	3587
674	7430	3577
675	7440	3566
676	7451	3555
677	7462	3544
678	7473	3533
679	7483	3521
680	7515	3520
681	7529	3510
682	7542	3500
683	7552	3489
684	7563	3478
685	7574	3467
686	7585	3456
687	7596	3444
688	7607	3433
689	7617	3422
690	7628	3411
691	7639	3400
692	7649	3388
693	7660	3377
694	7671	3366
695	7681	3355
696	7692	3344
697	7702	3332
698	7712	3321
699	7723	3309
700	7733	3298
701	7743	3286
702	7753	3275
703	7763	3264
704	7774	3253
705	7784	3241
706	7795	3230
707	7805	3219
708	7817	3208
709	7827	3197
710	7838	3186
711	7849	3175
712	7859	3163
713	7870	3152
714	7880	3141
715	7891	3130
716	7902	3119
717	7912	3107
718	7923	3096
719	7934	3085
720	7944	3074
721	7955	3063
722	7966	3052
723	7977	3041
724	7988	3030
725	7999	3019
726	8010	3007
727	8020	2996
728	8031	2985
729	8042	2974
730	8052	2963
731	8063	2952
732	8073	2940
733	8084	2929
734	8094	2918
735	8104	2906
736	8115	2895
737	8125	2884
738	8136	2873
739	8147	2862
740	8157	2851
741	8168	2840
742	8179	2829
743	8189	2818
744	8200	2806
745	8212	2796
746	8223	2785
747	8234	2774
748	8245	2763
749	8255	2751
750	8266	2740
751	8277	2729
752	8287	2718
753	8298	2707
754	8309	2696
755	8319	2685
756	8330	2674
757	8340	2662
758	8351	2651
759	8361	2640
760	8372	2629
761	8382	2618
762	8393	2607
763	8403	2595
